Age ,Race Sex,Year,Survival
90,African American Female,1940,5652
95,African American Female,1940,2345
100,African American Female,1940,659
0,All,1930,100000
1,All,1930,94028
5,All,1930,91978
10,All,1930,91106
15,All,1930,90385
20,All,1930,89089
25,All,1930,87269
30,All,1930,85302
35,All,1930,83118
40,All,1930,80557
45,All,1930,77343
50,All,1930,73321
55,All,1930,68182
60,All,1930,61563
65,All,1930,53195
70,All,1930,42768
75,All,1930,30789
80,All,1930,18580
85,All,1930,8542
90,All,1930,2998
95,All,1930,636
100,All,1930,62
0,All Male,1930,100000
1,All Male,1930,93440
5,All Male,1930,91294
10,All Male,1930,90346
15,All Male,1930,89561
20,All Male,1930,88220
25,All Male,1930,86359
30,All Male,1930,84346
35,All Male,1930,82075
40,All Male,1930,79357
45,All Male,1930,75882
50,All Male,1930,71518
55,All Male,1930,65981
60,All Male,1930,58909
65,All Male,1930,50154
70,All Male,1930,39516
75,All Male,1930,27718
80,All Male,1930,16172
85,All Male,1930,7107
90,All Male,1930,2283
95,All Male,1930,451
100,All Male,1930,40
0,All Female,1930,100000
1,All Female,1930,94728
5,All Female,1930,92789
10,All Female,1930,92008
15,All Female,1930,91364
20,All Female,1930,90116
25,All Female,1930,88328
30,All Female,1930,86398
35,All Female,1930,84304
40,All Female,1930,81927
45,All Female,1930,79041
50,All Female,1930,75456
55,All Female,1930,70832
60,All Female,1930,64795
65,All Female,1930,56924
70,All Female,1930,46774
75,All Female,1930,34600
80,All Female,1930,21578
85,All Female,1930,10322
90,All Female,1930,3656
95,All Female,1930,807
100,All Female,1930,82
0,White All,1930,100000
1,White All,1930,94392
5,White All,1930,92466
10,White All,1930,91627
15,White All,1930,90982
20,White All,1930,89933
25,White All,1930,88454
30,White All,1930,86836
35,White All,1930,85004
40,White All,1930,82803
45,White All,1930,79989
50,White All,1930,76340
55,White All,1930,71551
60,White All,1930,65100
65,White All,1930,56655
70,White All,1930,45841
75,White All,1930,33406
80,White All,1930,20260
85,White All,1930,9325
90,White All,1930,3066
95,White All,1930,636
100,White All,1930,58
0,White Male,1930,100000
1,White Male,1930,93768
5,White Male,1930,91738
10,White Male,1930,90810
15,White Male,1930,90074
20,White Male,1930,88904
25,White Male,1930,87371
30,White Male,1930,85707
35,White Male,1930,83812
40,White Male,1930,81457
45,White Male,1930,78345
50,White Male,1930,74288
55,White Male,1930,68981
60,White Male,1930,61933
65,White Male,1930,52964
70,White Male,1930,41880
75,White Male,1930,29471
80,White Male,1930,17221
85,White Male,1930,7572
90,White Male,1930,2356
95,White Male,1930,461
100,White Male,1930,40
0,White Female,1930,100000
1,White Female,1930,95037
5,White Female,1930,93216
10,White Female,1930,92466
15,White Female,1930,91894
20,White Female,1930,90939
25,White Female,1930,89524
30,White Female,1930,87972
35,White Female,1930,86248
40,White Female,1930,84256
45,White Female,1930,81780
50,White Female,1930,78572
55,White Female,1930,74321
60,White Female,1930,68462
65,White Female,1930,60499
70,White Female,1930,49932
75,White Female,1930,37024
80,White Female,1930,23053
85,White Female,1930,10937
90,White Female,1930,3719
95,White Female,1930,797
100,White Female,1930,74
0,African American All,1930,100000
1,African American All,1930,92035
5,African American All,1930,89303
10,African American All,1930,88258
15,African American All,1930,87156
20,African American All,1930,84386
25,African American All,1930,80320
30,African American All,1930,75962
35,African American All,1930,71141
40,African American All,1930,65974
45,African American All,1930,59827
50,African American All,1930,53141
55,African American All,1930,45558
60,African American All,1930,37654
65,African American All,1930,30015
70,African American All,1930,22505
75,African American All,1930,15546
80,African American All,1930,9589
85,African American All,1930,4900
90,African American All,1930,2044
95,African American All,1930,638
100,African American All,1930,120
0,African American Male,1930,100000
1,African American Male,1930,91268
5,African American Male,1930,88412
10,African American Male,1930,87311
15,African American Male,1930,86152
20,African American Male,1930,83621
25,African American Male,1930,79516
30,African American Male,1930,75083
35,African American Male,1930,70049
40,African American Male,1930,64710
45,African American Male,1930,58432
50,African American Male,1930,51748
55,African American Male,1930,44436
60,African American Male,1930,36790
65,African American Male,1930,29314
70,African American Male,1930,21741
75,African American Male,1930,14419
80,African American Male,1930,8239
85,African American Male,1930,3660
90,African American Male,1930,1246
95,African American Male,1930,307
100,African American Male,1930,41
0,African American Female,1930,100000
1,African American Female,1930,92796
5,African American Female,1930,90185
10,African American Female,1930,89201
15,African American Female,1930,88088
20,African American Female,1930,85078
25,African American Female,1930,81067
30,African American Female,1930,76816
35,African American Female,1930,72192
40,African American Female,1930,67271
45,African American Female,1930,61365
50,African American Female,1930,54920
55,African American Female,1930,47074
60,African American Female,1930,38761
65,African American Female,1930,30852
70,African American Female,1930,23341
75,African American Female,1930,16576
80,African American Female,1930,10822
85,African American Female,1930,6033
90,African American Female,1930,2774
95,African American Female,1930,941
100,African American Female,1930,193
0,All,1920,100000
1,All,1920,92515
5,All,1920,83389
10,All,1920,88129
15,All,1920,87144
20,All,1920,85441
25,All,1920,83146
30,All,1920,80642
35,All,1920,77961
40,All,1920,75114
45,All,1920,72036
50,All,1920,68429
55,All,1920,63947
60,All,1920,58079
65,All,1920,50560
70,All,1920,41090
75,All,1920,29729
80,All,1920,18298
85,All,1920,8683
90,All,1920,2941
95,All,1920,646
100,All,1920,67
0,All Male,1920,100000
1,All Male,1920,91745
5,All Male,1920,88505
10,All Male,1920,87184
15,All Male,1920,86156
20,All Male,1920,84440
25,All Male,1920,82252
30,All Male,1920,79890
35,All Male,1920,77514
40,All Male,1920,74432
45,All Male,1920,71244
50,All Male,1920,67553
55,All Male,1920,62965
60,All Male,1920,56917
65,All Male,1920,49218
70,All Male,1920,39668
75,All Male,1920,28316
80,All Male,1920,17128
85,All Male,1920,7920
90,All Male,1920,2527
95,All Male,1920,556
100,All Male,1920,62
0,All Female,1920,100000
1,All Female,1920,93383
5,All Female,1920,90380
10,All Female,1920,89186
15,All Female,1920,88247
20,All Female,1920,86556
25,All Female,1920,84135
30,All Female,1920,81463
35,All Female,1920,78713
40,All Female,1920,75907
45,All Female,1920,72954
50,All Female,1920,69452
55,All Female,1920,65099
60,All Female,1920,59438
65,All Female,1920,52126
70,All Female,1920,42741
75,All Female,1920,31344
80,All Female,1920,19613
85,All Female,1920,9515
90,All Female,1920,3314
95,All Female,1920,728
100,All Female,1920,72
0,White All,1920,100000
1,White All,1920,92780
5,White All,1920,89771
10,White All,1920,88536
15,White All,1920,87633
20,White All,1920,86159
25,White All,1920,84106
30,White All,1920,81787
35,White All,1920,79277
40,White All,1920,76642
45,White All,1920,73705
50,White All,1920,70250
55,White All,1920,65875
60,White All,1920,60013
65,White All,1920,52411
70,White All,1920,42736
75,White All,1920,31086
80,White All,1920,19149
85,White All,1920,9078
90,White All,1920,2991
95,White All,1920,643
100,White All,1920,62
0,White Male,1920,100000
1,White Male,1920,91975
5,White Male,1920,88842
10,White Male,1920,87530
15,White Male,1920,86546
20,White Male,1920,84997
25,White Male,1920,83061
30,White Male,1920,80888
35,White Male,1920,78441
40,White Male,1920,75733
45,White Male,1920,72696
50,White Male,1920,69107
55,White Male,1920,64574
60,White Male,1920,58498
65,White Male,1920,50663
70,White Male,1920,40873
75,White Male,1920,29205
80,White Male,1920,17655
85,White Male,1920,8154
90,White Male,1920,2568
95,White Male,1920,556
100,White Male,1920,61
0,White Female,1920,100000
1,White Female,1920,93608
5,White Female,1920,90721
10,White Female,1920,89564
15,White Female,1920,88712
20,White Female,1920,87281
25,White Female,1920,85163
30,White Female,1920,82740
35,White Female,1920,80206
40,White Female,1920,77624
45,White Female,1920,74871
50,White Female,1920,71547
55,White Female,1920,67323
60,White Female,1920,61704
65,White Female,1920,54299
70,White Female,1920,44638
75,White Female,1920,32777
80,White Female,1920,20492
85,White Female,1920,9909
90,White Female,1920,3372
95,White Female,1920,721
100,White Female,1920,63
0,African American All,1920,100000
1,African American All,1920,90379
5,African American All,1920,86174
10,African American All,1920,84690
15,African American All,1920,83180
20,African American All,1920,79641
25,African American All,1920,74973
30,African American All,1920,70492
35,African American All,1920,65865
40,African American All,1920,61244
45,African American All,1920,56442
50,African American All,1920,51422
55,African American All,1920,45803
60,African American All,1920,39418
65,African American All,1920,32738
70,African American All,1920,25585
75,African American All,1920,18011
80,African American All,1920,11376
85,African American All,1920,5794
90,African American All,1920,2317
95,African American All,1920,689
100,African American All,1920,129
0,African American Male,1920,100000
1,African American Male,1920,89499
5,African American Male,1920,85195
10,African American Male,1920,83768
15,African American Male,1920,82332
20,African American Male,1920,79057
25,African American Male,1920,74540
30,African American Male,1920,70344
35,African American Male,1920,65873
40,African American Male,1920,61353
45,African American Male,1920,56589
50,African American Male,1920,51880
55,African American Male,1920,46581
60,African American Male,1920,40506
65,African American Male,1920,34042
70,African American Male,1920,26923
75,African American Male,1920,18854
80,African American Male,1920,11615
85,African American Male,1920,5605
90,African American Male,1920,2040
95,African American Male,1920,552
100,African American Male,1920,77
0,African American Female,1920,100000
1,African American Female,1920,91251
5,African American Female,1920,87149
10,African American Female,1920,85607
15,African American Female,1920,83954
20,African American Female,1920,80154
25,African American Female,1920,75359
30,African American Female,1920,70633
35,African American Female,1920,65857
40,African American Female,1920,61130
45,African American Female,1920,56230
50,African American Female,1920,50780
55,African American Female,1920,44742
60,African American Female,1920,37954
65,African American Female,1920,31044
70,African American Female,1920,24107
75,African American Female,1920,17216
80,African American Female,1920,11151
85,African American Female,1920,5972
90,African American Female,1920,2579
95,African American Female,1920,818
100,African American Female,1920,179
0,All,1910,100000
1,All,1910,88538
5,All,1910,83887
10,All,1910,82458
15,All,1910,81506
20,All,1910,80074
25,All,1910,78046
30,All,1910,75779
35,All,1910,73127
40,All,1910,70042
45,All,1910,66561
50,All,1910,62460
55,All,1910,57555
60,All,1910,51138
65,All,1910,43194
70,All,1910,33816
75,All,1910,23552
80,All,1910,13712
85,All,1910,6001
90,All,1910,1868
95,All,1910,361
100,All,1910,40
0,All Male,1910,100000
1,All Male,1910,87505
5,All Male,1910,82718
10,All Male,1910,81249
15,All Male,1910,80261
20,All Male,1910,78792
25,All Male,1910,76675
30,All Male,1910,74378
35,All Male,1910,71614
40,All Male,1910,68297
45,All Male,1910,64518
50,All Male,1910,60118
55,All Male,1910,54970
60,All Male,1910,48343
65,All Male,1910,40264
70,All Male,1910,31023
75,All Male,1910,21213
80,All Male,1910,11942
85,All Male,1910,5059
90,All Male,1910,1502
95,All Male,1910,289
100,All Male,1910,33
0,All Female,1910,100000
1,All Female,1910,89623
5,All Female,1910,85117
10,All Female,1910,83728
15,All Female,1910,82813
20,All Female,1910,81418
25,All Female,1910,79481
30,All Female,1910,77247
35,All Female,1910,74719
40,All Female,1910,71894
45,All Female,1910,68755
50,All Female,1910,65001
55,All Female,1910,60392
60,All Female,1910,54226
65,All Female,1910,46438
70,All Female,1910,36916
75,All Female,1910,26155
80,All Female,1910,15682
85,All Female,1910,7051
90,All Female,1910,2269
95,All Female,1910,441
100,All Female,1910,49
0,White All,1910,100000
1,White All,1910,88709
5,White All,1910,84147
10,White All,1910,82734
15,White All,1910,81816
20,White All,1910,80407
25,White All,1910,78392
30,White All,1910,76167
35,White All,1910,73568
40,White All,1910,70525
45,White All,1910,67090
50,White All,1910,62994
55,White All,1910,58163
60,White All,1910,51822
65,White All,1910,43904
70,White All,1910,34484
75,White All,1910,24151
80,White All,1910,14100
85,White All,1910,6178
90,White All,1910,1918
95,White All,1910,364
100,White All,1910,38
0,White Male,1910,100000
1,White Male,1910,87674
5,White Male,1910,82972
10,White Male,1910,81519
15,White Male,1910,80549
20,White Male,1910,79116
25,White Male,1910,77047
30,White Male,1910,74810
35,White Male,1910,72108
40,White Male,1910,68848
45,White Male,1910,65115
50,White Male,1910,60741
55,White Male,1910,55622
60,White Male,1910,48987
65,White Male,1910,40862
70,White Male,1910,31527
75,White Male,1910,21585
80,White Male,1910,12160
85,White Male,1910,5145
90,White Male,1910,1523
95,White Male,1910,289
100,White Male,1910,31
0,White Female,1910,100000
1,White Female,1910,89774
5,White Female,1910,85349
10,White Female,1910,83979
15,White Female,1910,83093
20,White Female,1910,81750
25,White Female,1910,79865
30,White Female,1910,77676
35,White Female,1910,75200
40,White Female,1910,72425
45,White Female,1910,69341
50,White Female,1910,65629
55,White Female,1910,61053
60,White Female,1910,54900
65,White Female,1910,47086
70,White Female,1910,37482
75,White Female,1910,26569
80,White Female,1910,15929
85,White Female,1910,7152
90,White Female,1910,2291
95,White Female,1910,434
100,White Female,1910,44
0,African American All,1910,100000
1,African American All,1910,79784
5,African American All,1910,70691
10,African American All,1910,68437
15,African American All,1910,66410
20,African American All,1910,63165
25,African American All,1910,59608
30,African American All,1910,56112
35,African American All,1910,52125
40,African American All,1910,47866
45,African American All,1910,43054
50,African American All,1910,37800
55,African American All,1910,32233
60,African American All,1910,26046
65,African American All,1910,19806
70,African American All,1910,14021
75,African American All,1910,9139
80,African American All,1910,5158
85,African American All,1910,2414
90,African American All,1910,913
95,African American All,1910,324
100,African American All,1910,77
0,African American Male,1910,100000
1,African American Male,1910,78065
5,African American Male,1910,68589
10,African American Male,1910,66377
15,African American Male,1910,64478
20,African American Male,1910,61426
25,African American Male,1910,57736
30,African American Male,1910,54073
35,African American Male,1910,49865
40,African American Male,1910,45414
45,African American Male,1910,40563
50,African American Male,1910,35427
55,African American Male,1910,29754
60,African American Male,1910,23750
65,African American Male,1910,17806
70,African American Male,1910,12295
75,African American Male,1910,7494
80,African American Male,1910,3894
85,African American Male,1910,1747
90,African American Male,1910,595
95,African American Male,1910,189
100,African American Male,1910,40
0,African American Female,1910,100000
1,African American Female,1910,81493
5,African American Female,1910,72768
10,African American Female,1910,70508
15,African American Female,1910,68218
20,African American Female,1910,64764
25,African American Female,1910,61430
30,African American Female,1910,58281
35,African American Female,1910,54595
40,African American Female,1910,50568
45,African American Female,1910,45947
50,African American Female,1910,40886
55,African American Female,1910,35415
60,African American Female,1910,28908
65,African American Female,1910,22302
70,African American Female,1910,15871
75,African American Female,1910,10657
80,African American Female,1910,6324
85,African American Female,1910,3029
90,African American Female,1910,1206
95,African American Female,1910,448
100,African American Female,1910,112
0,All,1900,100000
1,All,1900,87552
5,All,1900,81804
10,All,1900,80052
15,All,1900,78963
20,All,1900,77239
25,All,1900,74768
30,All,1900,72043
35,All,1900,69078
40,All,1900,65890
45,All,1900,62436
50,All,1900,58514
55,All,1900,53852
60,All,1900,47946
65,All,1900,40911
70,All,1900,32390
75,All,1900,22960
80,All,1900,13529
85,All,1900,6053
90,All,1900,1867
95,All,1900,344
100,All,1900,31
0,All Male,1900,100000
1,All Male,1900,86426
5,All Male,1900,80548
10,All Male,1900,78775
15,All Male,1900,77681
20,All Male,1900,75984
25,All Male,1900,73472
30,All Male,1900,70747
35,All Male,1900,67752
40,All Male,1900,64447
45,All Male,1900,60849
50,All Male,1900,56736
55,All Male,1900,51939
60,All Male,1900,45895
65,All Male,1900,38736
70,All Male,1900,30217
75,All Male,1900,21076
80,All Male,1900,12084
85,All Male,1900,5179
90,All Male,1900,1508
95,All Male,1900,262
100,All Male,1900,22
0,All Female,1900,100000
1,All Female,1900,88733
5,All Female,1900,83119
10,All Female,1900,81390
15,All Female,1900,80307
20,All Female,1900,78555
25,All Female,1900,76119
30,All Female,1900,73394
35,All Female,1900,70463
40,All Female,1900,67407
45,All Female,1900,64121
50,All Female,1900,60415
55,All Female,1900,55908
60,All Female,1900,50155
65,All Female,1900,43246
70,All Female,1900,34721
75,All Female,1900,24994
80,All Female,1900,15129
85,All Female,1900,7063
90,All Female,1900,2306
95,All Female,1900,452
100,All Female,1900,43
0,White All,1900,100000
1,White All,1900,87762
5,White All,1900,82071
10,White All,1900,80371
15,White All,1900,79344
20,White All,1900,77998
25,White All,1900,75202
30,White All,1900,72317
35,White All,1900,69522
40,White All,1900,66082
45,White All,1900,62920
50,White All,1900,58647
55,White All,1900,54450
60,White All,1900,48288
65,White All,1900,41505
70,White All,1900,32902
75,White All,1900,23356
80,White All,1900,13794
85,White All,1900,6192
90,White All,1900,1919
95,White All,1900,355
100,White All,1900,31
0,White Male,1900,100000
1,White Male,1900,86655
5,White Male,1900,80864
10,White Male,1900,79109
15,White Male,1900,78037
20,White Male,1900,76376
25,White Male,1900,73907
30,White Male,1900,71219
35,White Male,1900,68245
40,White Male,1900,64954
45,White Male,1900,61369
50,White Male,1900,57274
55,White Male,1900,52491
60,White Male,1900,46452
65,White Male,1900,39245
70,White Male,1900,30640
75,White Male,1900,21387
80,White Male,1900,12266
85,White Male,1900,5252
90,White Male,1900,1523
95,White Male,1900,263
100,White Male,1900,22
0,White Female,1900,100000
1,White Female,1900,88939
5,White Female,1900,83426
10,White Female,1900,81723
15,White Female,1900,80680
20,White Female,1900,78978
25,White Female,1900,76588
30,White Female,1900,73887
35,White Female,1900,70971
40,White Female,1900,67935
45,White Female,1900,64677
50,White Female,1900,61005
55,White Female,1900,56509
60,White Female,1900,50752
65,White Female,1900,43806
70,White Female,1900,35206
75,White Female,1900,25362
80,White Female,1900,15349
85,White Female,1900,7149
90,White Female,1900,2322
95,White Female,1900,448
100,White Female,1900,41
0,African American All,1900,100000
1,African American All,1900,76609
5,African American All,1900,66222
10,African American All,1900,63410
15,African American All,1900,61060
20,African American All,1900,57931
25,African American All,1900,54512
30,African American All,1900,51287
35,African American All,1900,48007
40,African American All,1900,44518
45,African American All,1900,40628
50,African American All,1900,36103
55,African American All,1900,31404
60,African American All,1900,25698
65,African American All,1900,20474
70,African American All,1900,14960
75,African American All,1900,9956
80,African American All,1900,5750
85,African American All,1900,2782
90,African American All,1900,1054
95,African American All,1900,296
100,African American All,1900,57
0,African American Male,1900,100000
1,African American Male,1900,74674
5,African American Male,1900,64385
10,African American Male,1900,61730
15,African American Male,1900,59667
20,African American Male,1900,56733
25,African American Male,1900,53285
30,African American Male,1900,49867
35,African American Male,1900,46541
40,African American Male,1900,42989
45,African American Male,1900,39230
50,African American Male,1900,34766
55,African American Male,1900,29987
60,African American Male,1900,24194
65,African American Male,1900,19015
70,African American Male,1900,13829
75,African American Male,1900,8892
80,African American Male,1900,4831
85,African American Male,1900,2030
90,African American Male,1900,634
95,African American Male,1900,137
100,African American Male,1900,18
0,African American Female,1900,100000
1,African American Female,1900,78525
5,African American Female,1900,68056
10,African American Female,1900,65111
15,African American Female,1900,62384
20,African American Female,1900,59053
25,African American Female,1900,55795
30,African American Female,1900,52773
35,African American Female,1900,49567
40,African American Female,1900,46146
45,African American Female,1900,42279
50,African American Female,1900,37681
55,African American Female,1900,33124
60,African American Female,1900,27524
65,African American Female,1900,21995
70,African American Female,1900,16140
75,African American Female,1900,11066
80,African American Female,1900,6708
85,African American Female,1900,3567
90,African American Female,1900,1492
95,African American Female,1900,462
100,African American Female,1900,97
