Age ,Race Sex,2015,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900
0,All,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,All,99411,99305,99064,98740,97998,97407,97024,95290,94028,92515,88538,87552
5,All,99312,99176,98877,98495,97668,96998,96482,94220,91978,83389,83887,81804
10,All,99254,99097,98766,98347,97460,96765,96177,93710,91106,88129,82458,80052
15,All,99181,98998,98635,98196,97261,96551,95885,93235,90385,87144,81506,78963
20,All,98943,98664,98215,97741,96716,96111,95366,92435,89089,85441,80074,77239
25,All,98503,98203,97671,97110,96000,95517,94676,91335,87269,83146,78046,74768
30,All,97980,97751,97070,96477,95307,94905,93919,90078,85302,80642,75779,72043
35,All,97357,97201,96322,95808,94482,94144,92976,88573,83118,77961,73127,69078
40,All,96609,96422,95373,94926,93322,93064,91648,86650,80557,75114,70042,65890
45,All,95619,95274,94154,93599,91587,91378,89634,84069,77343,72036,66561,62436
50,All,94158,93601,92370,91526,88972,88756,86591,80487,73321,68429,62460,58514
55,All,91867,91232,89658,88348,85110,84711,82176,75557,68182,63947,57555,53852
60,All,88559,87642,85537,83726,79529,79067,75921,68924,61563,58079,51138,47946
65,All,84055,82330,79519,77107,71933,71147,67555,60366,53195,50560,43194,40911
70,All,78066,74891,71357,68248,61984,60857,56987,49655,42768,41090,33816,32390
75,All,69559,64644,60449,56799,49705,48170,43903,36735,30789,29729,23552,22960
80,All,57811,50885,47084,43180,35285,33576,29313,22883,18580,18298,13712,13529
85,All,42192,34515,31770,27960,20908,18542,15785,11073,8542,8683,6001,6053
90,All,24285,18496,17046,14154,9297,7080,6144,3796,2998,2941,1868,1867
95,All,9292,6879,6282,5043,2786,1524,1511,857,636,646,361,344
100,All,1935,1479,1424,1150,542,183,199,123,62,67,40,31
0,All Male,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,All Male,99361,99239,98961,98607,97755,97087,96661,94762,93440,91745,87505,86426
5,All Male,99250,99095,98754,98333,97395,96643,96077,93624,91294,88505,82718,80548
10,All Male,99185,99008,98627,98160,97151,96375,95726,93054,90346,87184,81249,78775
15,All Male,99101,98890,98464,97972,96904,96107,95366,92508,89561,86156,80261,77681
20,All Male,98774,98426,97854,97316,96126,95491,94695,91617,88220,84440,78792,75984
25,All Male,98135,97747,97049,96361,95040,94631,93791,90385,86359,82252,76675,73472
30,All Male,97399,97114,96166,95430,94072,93826,92861,89009,84346,79890,74378,70747
35,All Male,96569,96385,95091,94501,92997,92889,91760,87371,82075,77514,71614,67752
40,All Male,95615,95389,93761,93345,91541,91572,90207,85246,79357,74432,68297,64447
45,All Male,94409,93940,92139,91649,89369,89492,87819,82336,75882,71244,64518,60849
50,All Male,92657,91818,89865,89007,86070,86199,84158,78254,71518,67553,60118,56736
55,All Male,89881,88897,86492,84936,81139,81039,78781,72627,65981,62965,54970,51939
60,All Male,85842,84551,81378,79012,73958,73887,71246,65142,58909,56917,48343,45895
65,All Male,80330,78241,73971,70646,64318,64177,61566,55776,50154,49218,40264,38736
70,All Male,73317,69491,64107,59681,52296,52244,49950,44588,39516,39668,31023,30217
75,All Male,63777,57688,51385,46272,38797,38950,36756,31864,27718,28316,21213,21076
80,All Male,51163,42769,36749,31810,24921,25300,25237,18995,16172,17128,11942,12084
85,All Male,35290,26527,21815,18020,13168,12845,11750,8693,7107,7920,5059,5179
90,All Male,18475,12473,9878,7732,5107,4609,4197,2787,2283,2527,1502,1508
95,All Male,6037,3855,2927,2279,1326,970,955,586,451,556,289,262
100,All Male,999,645,529,423,222,117,121,78,40,62,33,22
0,All Female,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,All Female,99462,99375,99172,98880,98254,97744,97406,95848,94728,93383,89623,88733
5,All Female,99376,99261,99006,98666,97955,97371,96908,94848,92789,90380,85117,83119
10,All Female,99326,99190,98911,98544,97784,97173,96652,94402,92008,89186,83728,81390
15,All Female,99265,99111,98814,98432,97636,97016,96431,94000,91364,88247,82813,80307
20,All Female,99121,98915,98597,98184,97331,96756,96066,93293,90116,86556,81418,78555
25,All Female,98891,98682,98325,97883,96966,96418,95583,92322,88328,84135,79481,76119
30,All Female,98591,98418,98013,97551,96544,95996,94933,91182,86398,81463,77247,73394
35,All Female,98179,98052,97596,97140,95966,95409,94206,89810,84304,78713,74719,70463
40,All Female,97640,97493,97033,96531,95097,94560,93101,88092,81927,75907,71894,67407
45,All Female,96867,96648,96222,95570,93793,93265,91469,85856,79041,72954,68755,64121
50,All Female,"95,700",95425,94932,94060,91852,91327,89075,82828,75456,69452,65001,60415
55,All Female,"93,895",93609,92881,91760,89066,88451,85694,78708,70832,65099,60392,55908
60,All Female,"91,312",90767,89742,88414,85139,84430,80890,73093,64795,59438,54226,50155
65,All Female,"87,800",86433,85075,83520,79698,78462,74119,65523,56924,52126,46438,43246
70,All Female,"82,827",80219,78522,76720,71955,70100,64873,55449,46774,42741,36916,34721
75,All Female,"75,340",71311,69287,67186,61107,58394,52111,42425,34600,31344,26155,24994
80,All Female,"64,422",58455,56986,54372,46445,43063,36486,27524,21578,19613,15682,15129
85,All Female,"48,948",41830,41115,37772,29538,25269,20668,13972,10322,9515,7051,7063
90,All Female,"29,772",23936,23666,20578,14160,10056,8548,5044,3656,3314,2269,2306
95,All Female,"12,204",9560,9346,7862,4565,2193,2207,1195,807,728,441,452
100,All Female,"2,724",2183,2251,1927,954,264,298,179,82,72,49,43
0,White All,"100,000",100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,White All,"99,508",99429,99233,98898,98224,97714,97278,95685,94392,92780,88709,87762
5,White All,"99,419",99313,99068,98675,97930,97353,96790,94713,92466,89771,84147,82071
10,White All,"99,365",99239,98966,98536,97733,97131,96502,94228,91627,88536,82734,80371
15,White All,"99,296",99146,98843,98391,97546,96928,96228,93792,90982,87633,81816,79344
20,White All,"99,072",98826,98455,97939,97036,96508,95763,93117,89933,86159,80407,77998
25,White All,"98,652",98406,97972,97340,96406,95965,95169,92213,88454,84106,78392,75202
30,White All,"98,137",98000,97451,96774,95824,95440,94536,91185,86836,81787,76167,72317
35,White All,"97,518",97506,96810,96192,95152,94798,93750,89941,85004,79277,73568,69522
40,White All,"96,782",96799,96000,95427,94190,93870,92616,88318,82803,76642,70525,66082
45,White All,"95,808",95759,94932,94257,92681,92374,90847,86069,79989,73705,67090,62920
50,White All,"94,374",94242,93326,92384,90306,89958,88110,82833,76340,70250,62994,58647
55,White All,"92,125",92050,90833,89427,86688,86173,84027,78218,71551,65875,58163,54450
60,White All,"88,900",88655,86943,85031,81323,80811,78066,71785,65100,60013,51822,48288
65,White All,"84,518",83518,81123,78585,73889,73102,69850,63201,56655,52411,43904,41505
70,White All,"78,581",76219,73106,69801,63991,62834,59189,52165,45841,42736,34484,32902
75,White All,"70,065",66022,62175,58299,51586,49895,45688,38610,33406,31086,24151,23356
80,White All,"58,217",52160,48583,44409,36659,34697,30438,23976,20260,19149,14100,13794
85,White All,"42,381",35461,32850,28768,21578,19017,16239,11483,9325,9078,6178,6192
90,White All,"24,255",18964,17571,14471,9433,7149,6201,3819,3066,2991,1918,1919
95,White All,"9,091",6971,6416,5067,2743,1521,1500,801,636,643,364,355
100,White All,"1,809",1454,1423,1105,487,183,196,98,58,62,38,31
0,White Male,"100,000",100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,White Male,"99,467",99373,99138,98769,97994,97408,96931,95188,93768,91975,87674,86655
5,White Male,"99,368",99243,98956,98519,97671,97015,96403,94150,91738,88842,82972,80864
10,White Male,"99,307",99163,98839,98357,97441,96758,96069,93601,90810,87530,81519,79109
15,White Male,"99,228",99052,98686,98176,97208,96503,95728,93089,90074,86546,80549,78037
20,White Male,"98,928",98616,98134,97525,96480,95908,95104,92293,88904,84997,79116,76376
25,White Male,"98,328",98003,97430,96616,95524,95106,94294,91241,87371,83061,77047,73907
30,White Male,"97,612",97436,96662,95783,94716,94401,93489,90092,85707,80888,74810,71219
35,White Male,"96,794",96774,95731,94980,93843,93589,92543,88713,83812,78441,72108,68245
40,White Male,"95,862",95859,94588,93984,92631,92427,91173,86880,81457,75733,68848,64954
45,White Male,"94,674",94530,93167,92494,90725,90533,89002,84285,78345,72696,65115,61369
50,White Male,"92,952",92588,91124,90105,87690,87424,85601,80521,74288,69107,60741,57274
55,White Male,"90,218",89883,88022,86303,83001,82463,80496,75156,68981,64574,55622,52491
60,White Male,"86,274",85773,83182,80625,75969,75485,73172,67787,61933,58498,48987,46452
65,White Male,"80,922",79657,75962,72393,66343,65834,63541,58305,52964,50663,40862,39245
70,White Male,"73,995",71039,66181,61384,54138,53825,51735,46739,41880,40873,31527,30640
75,White Male,"64,463",59245,53308,47712,40324,40207,38104,33404,29471,29205,21585,21387
80,White Male,"51,743",44121,38245,32788,25885,25993,24005,19860,17221,17655,12160,12266
85,White Male,"35,608",27425,22720,18538,13527,13065,12015,9013,7572,8154,5145,5252
90,White Male,"18,550",12840,10214,7891,5125,4600,4209,2812,2356,2568,1523,1523
95,White Male,"5,895",3899,2988,2279,1274,956,942,552,461,556,289,263
100,White Male,914,625,523,404,189,115,118,65,40,61,31,22
0,White Female,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,White Female,99551,99488,99333,99035,98468,98036,97645,96211,95037,93608,89774,88939
5,White Female,99473,99385,99187,98841,98203,97709,97199,95309,93216,90721,85349,83426
10,White Female,99426,99319,99099,98725,98042,97525,96960,94890,92466,89564,83979,81723
15,White Female,99367,99245,99007,98618,97902,97375,96756,94534,91894,88712,83093,80680
20,White Female,99222,99049,98795,98374,97618,97135,96454,93984,90939,87281,81750,78978
25,White Female,98995,98835,98547,98093,97299,96844,96072,93228,89524,85163,79865,76588
30,White Female,98693,98602,98283,97802,96945,96499,95605,92320,87972,82740,77676,73887
35,White Female,98284,98282,97939,97445,96474,96026,94977,91211,86248,80206,75200,70971
40,White Female,97754,97790,97472,96913,95762,95326,94080,89805,84256,77624,72425,67935
45,White Female,96999,97049,96768,96065,94649,94228,92725,87920,81780,74871,69341,64677
50,White Female,95864,95962,95608,94710,92924,92522,90685,85267,78572,71547,65629,61005
55,White Female,94109,94293,93730,92594,90383,89967,87699,81520,74321,67323,61053,56509
60,White Female,91612,91615,90789,89451,86726,86339,83279,76200,68462,61704,54900,50752
65,White Female,88204,87449,86339,84764,81579,80739,76773,68701,60499,54299,47086,43806
70,White Female,83268,81400,79984,78139,74101,72507,67545,58363,49932,44638,37482,35206
75,White Female,75765,72595,70834,68712,63290,60461,54397,44685,37024,32777,26569,25362
80,White Female,64752,59721,58454,55770,48182,44676,38026,28882,23053,20492,15929,15349
85,White Female,49097,42848,42274,38774,30490,26046,21348,14487,10937,9909,7152,7149
90,White Female,29718,24491,24270,20996,14406,10219,8662,5061,3719,3372,2291,2322
95,White Female,11966,9680,9495,7900,4526,2203,2200,1109,797,721,434,448
100,White Female,2566,2147,2239,1858,872,265,294,139,74,63,44,41
0,African American All,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,African American All,98861,98578,98187,97885,96731,95732,95407,92584,92035,90379,79784,76609
5,African American All,98708,98382,97884,97522,96207,95051,94482,90983,89303,86174,70691,66222
10,African American All,98626,98271,97720,97322,95928,94745,94060,90339,88258,84690,68437,63410
15,African American All,98529,98139,97539,97134,95661,94460,93646,89591,87156,83180,66410,61060
20,African American All,98194,97701,96925,96652,94887,93880,92738,87839,84386,79641,63165,57931
25,African American All,97574,96946,95972,95804,93513,92925,91321,85210,80320,74973,59608,54512
30,African American All,96863,96143,94809,94680,91934,91699,89584,82194,75962,70492,56112,51287
35,African American All,96021,95164,93260,93288,89977,90046,87402,78683,71141,65865,52125,48007
40,African American All,94972,93809,91239,91439,87304,87766,84478,74466,65974,61244,47866,44518
45,African American All,93595,91770,88689,88834,83700,84501,80507,69284,59827,56442,43054,40628
50,African American All,91622,88761,85285,85044,78938,80172,74976,62702,53141,51422,37800,36103
55,African American All,88560,84657,80635,79816,72826,73893,67660,54846,45558,45803,32233,31404
60,African American All,84017,79007,74335,72913,65250,65795,58593,46318,37654,39418,26046,25698
65,African American All,77782,71704,66154,64391,56102,56038,48649,37838,30015,32738,19806,20474
70,African American All,70220,62349,56192,54617,45785,45434,38616,29654,22505,25585,14021,14960
75,African American All,60498,50987,44872,43274,34262,34531,28968,21798,15546,18011,9139,9956
80,African American All,48499,37964,33149,31711,23710,24815,20003,14408,9589,11376,5158,5750
85,African American All,34490,24677,21352,19939,15044,15337,12433,8326,4900,5794,2414,2782
90,African American All,20023,13204,11646,10713,8087,7195,6394,4077,2044,2317,913,1054
95,African American All,8516,5368,4729,4463,3252,1777,2010,1557,638,689,324,296
100,African American All,2334,1491,1376,1360,1036,214,301,399,120,129,77,57
0,African American Male,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,African American Male,98760,98437,98023,97703,96394,95301,94911,91772,91268,89499,78065,74674
5,African American Male,98580,98219,97688,97300,95826,94570,93921,90082,88412,85195,68589,64385
10,African American Male,98488,98093,97501,97061,95497,94234,93453,89393,87311,83768,66377,61730
15,African American Male,98373,97930,97268,96826,95161,93874,92965,88610,86152,82332,64478,59667
20,African American Male,97868,97275,96301,96132,94053,93108,91941,86968,83621,79057,61426,56733
25,African American Male,96926,96103,94809,94827,91904,91825,90285,84227,79516,74540,57736,53285
30,African American Male,95878,94940,93070,93125,89584,90270,88327,80979,75083,70344,54073,49867
35,African American Male,94720,93641,90827,91080,86885,88331,85940,77221,70049,65873,49865,46541
40,African American Male,93348,91945,87948,88490,83441,85744,82832,72780,64710,61353,45414,42989
45,African American Male,91674,89439,84467,84997,78976,82075,78686,67346,58432,56589,40563,39230
50,African American Male,"89,341",85653,79984,80065,73282,77239,72891,60495,51748,51880,35427,34766
55,African American Male,"85,685",80529,74095,73413,66101,70351,65122,52426,44436,46581,29754,29987
60,African American Male,"80,218",73588,66334,64980,57457,61669,55535,43833,36790,40506,23750,24194
65,African American Male,"72,521",64980,56795,55061,47485,51392,45198,35371,29314,34042,17806,19015
70,African American Male,"63,506",54253,45690,44213,36925,39914,35018,27236,21741,26923,12295,13829
75,African American Male,"52,519",41693,33755,32717,25921,29064,25472,19456,14419,18854,7494,8892
80,African American Male,"39,756",28497,22549,22017,16560,19994,16904,12186,8239,11615,3894,4831
85,African American Male,"26,155",16532,12709,12383,9648,11620,9898,6444,3660,5605,1747,2030
90,African American Male,"13,658",7625,5972,5708,4696,5174,4642,2836,1246,2040,595,634
95,African American Male,"4,982",2565,1971,2009,1721,1240,1342,961,307,552,189,137
100,African American Male,"1,110",563,466,513,489,149,192,209,41,77,40,18
0,African American Female,"100,000",100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,African American Female,"98,966",98723,98356,98073,97076,96172,95913,93416,92796,91251,81493,78525
5,African American Female,"98,840",98550,98087,97751,96598,95543,95055,91906,90185,87149,72768,68056
10,African American Female,"98,767",98456,97946,97590,96369,95265,94679,91308,89201,85607,70508,65111
15,African American Female,"98,691",98354,97818,97450,96172,95057,94343,90594,88088,83954,68218,62384
20,African American Female,"98,532",98141,97566,97180,95729,94660,93544,88736,85078,80154,64764,59053
25,African American Female,"98,247",97785,97140,96754,95035,94005,92336,86198,81067,75359,61430,55795
30,African American Female,"97,871",97314,96514,96150,94114,93070,90799,83384,76816,70633,58281,52773
35,African American Female,"97,329",96632,95599,95338,92807,91670,88805,80092,72192,65857,54595,49567
40,African American Female,"96,579",95588,94364,94137,90817,89676,86052,76084,67271,61130,50568,46146
45,African American Female,"95,473",93979,92676,92322,88001,86793,82257,71157,61365,56230,45947,42279
50,African American Female,"93,833",91680,90277,89563,84168,82979,77007,64885,54920,50780,40886,37681
55,African American Female,"91,320",88517,86793,85653,79177,77362,70196,57314,47074,44742,35415,33124
60,African American Female,"87,630",84044,81886,80293,72820,69941,61758,48928,38761,37954,28908,27524
65,African American Female,"82,709",77941,75031,73266,64716,60825,52358,40504,30852,31044,22302,21995
70,African American Female,"76,456",69778,66278,64729,54873,51274,42612,32354,23341,24107,15871,16140
75,African American Female,"67,857",59361,55684,53831,43193,40540,32981,24502,16576,17216,10657,11066
80,African American Female,"56,513",46453,43622,41686,31756,30315,23712,17039,10822,11151,6324,6708
85,African American Female,"42,015",32053,30089,28004,21358,19744,15550,10622,6033,5972,3029,3567
90,African American Female,"25,628",18347,17536,16260,12210,9675,8590,5652,2774,2579,1206,1492
95,African American Female,"11,474",7989,7687,7312,5217,2438,2875,2345,941,818,448,462
100,African American Female,"3,273",2351,2364,2398,1803,293,445,659,193,179,112,97
